112	0	6	5	6	5	5	4	5	4	3	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0
113	0	0	4	1	2	9999	3	3	9999	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
115	0	5	4	6	4	2	3	0	3	9999	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
117	0	5	5	6	5	3	3	5	9999	3	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0
119	0	0	0	3	3	3	4	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0
120	0	6	6	6	6	3	4	3	5	3	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
121	0	0	9999	5	4	4	3	5	3	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0
123	0	3	2	2	5	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
124	0	1	2	4	4	2	5	4	9999	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0
127	0	6	5	6	5	5	5	2	5	3	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
134	0	6	2	4	5	5	3	3	3	3	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
136	0	9999	9999	4	6	5	4	4	6	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	0	0	1
137	0	5	4	4	3	3	5	4	9999	4	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0
138	0	3	4	3	3	6	3	3	3	3	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	0	6	5	2	6	4	5	9999	5	2	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
144	0	6	6	6	6	6	6	3	6	6	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0
145	0	6	6	5	5	4	6	3	4	4	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0
151	0	0	0	6	0	6	6	0	0	6	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0
154	0	4	3	3	3	2	3	1	3	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0
156	0	6	5	5	5	5	5	3	5	4	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
158	0	3	2	4	6	3	3	3	3	2	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0
159	0	4	4	3	3	5	3	4	3	4	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0
160	0	6	6	5	4	6	4	4	3	5	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0
164	0	5	5	5	5	3	5	4	3	5	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
165	0	6	6	5	6	0	2	2	9999	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
166	0	1	2	0	2	9999	2	3	4	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1
167	0	5	5	4	5	4	4	3	4	4	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
170	0	2	2	2	4	5	2	4	9999	2	1	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0
171	0	5	5	5	4	4	4	2	9999	4	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0
177	0	2	4	0	2	6	4	0	9999	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0
180	0	3	1	5	3	0	1	3	3	3	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0
182	0	6	4	2	4	3	3	3	5	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
